[29/03/2015 - 16:30:24] - AdmCmd: O admin Saymon_Felipe prendeu Pantera_ShiFt por 0 minutos, Motivo: .
[29/03/2015 - 16:31:01] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Cpt_JhonatanPM para +10 minutos, Motivo: DM
[29/03/2015 - 16:31:21] - AdmCmd: O admin Johny_Staff prendeu Buzi_ShiFt por 0 minutos, Motivo: Ajuste
[29/03/2015 - 16:35:26] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Money_Blood para +10 minutos, Motivo: Invadindo Sem /gov
[29/03/2015 - 16:35:53] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Emerson_Blood para +10 minutos, Motivo: Invadindo sem /gov
[29/03/2015 - 16:38:34] - AdmCmd: O admin Johny_Staff prendeu Money_Blood por 0 minutos, Motivo: Ajuste
[29/03/2015 - 16:39:02] - AdmCmd: O admin Johny_Staff prendeu Emerson_Blood por 0 minutos, Motivo: Ajuste
[29/03/2015 - 16:59:20] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Toboco_Mechanics para +20 minutos, Motivo: DM
[29/03/2015 - 17:11:52] - AdmCmd: O admin rodrigorkn_nunes ajustou a cadeia de Shake_RuLeZ para +5 minutos, Motivo: Anuncio indv
[29/03/2015 - 17:35:56] - AdmCmd: O admin Saymon_Felipe prendeu Whanky_Starkey por 0 minutos, Motivo: .
[29/03/2015 - 17:40:03] - AdmCmd: O admin Johny_Staff ajustou a cadeia de CmdGrl_PhantonPM para +15 minutos, Motivo: DM
[29/03/2015 - 17:40:56] - AdmCmd: O admin Johny_Staff prendeu Cachorrera_Starkey por 0 minutos, Motivo: Ajuste
[29/03/2015 - 17:55:00] - AdmCmd: O admin Saymon_Felipe prendeu ybruxo_ShiFt por 0 minutos, Motivo: .
[29/03/2015 - 18:02:45] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Cpt_JhonatanPM para +50 minutos, Motivo: DM dnv 
[29/03/2015 - 18:04:28] - AdmCmd: O admin Saymon_Felipe prendeu Cpt_JhonatanPM por 20 minutos, Motivo: Cumpra - Sem xoro agora.
[29/03/2015 - 18:06:15] - AdmCmd: O admin Johny_Staff prendeu Pantera_ShiFt por 0 minutos, Motivo: Ajuste
[29/03/2015 - 19:07:48] - AdmCmd: O admin Saymon_Felipe prendeu Vini_Molina por 0 minutos, Motivo: .
[29/03/2015 - 19:12:26] - AdmCmd: O admin Saymon_Felipe prendeu Ramirez_Ferraz por 0 minutos, Motivo: .
[29/03/2015 - 19:13:20] - AdmCmd: O admin Saymon_Felipe prendeu Cachorrera_Starkey por 0 minutos, Motivo: .
[29/03/2015 - 19:14:01] - AdmCmd: O admin Saymon_Felipe prendeu Whanky_Starkey por 0 minutos, Motivo: .
[29/03/2015 - 19:21:06] - AdmCmd: O admin Saymon_Felipe prendeu Lactea_ShiFt por 0 minutos, Motivo: .
[29/03/2015 - 19:22:08] - AdmCmd: O admin Saymon_Felipe prendeu Cachorrera_Starkey por 0 minutos, Motivo: .
[29/03/2015 - 19:25:33] - AdmCmd: O admin Johny_Staff prendeu Pantera_ShiFt por 0 minutos, Motivo: Evento
[29/03/2015 - 19:25:38] - AdmCmd: O admin Johny_Staff prendeu Taxista_ShiFt por 0 minutos, Motivo: Evento
[29/03/2015 - 19:30:54] - AdmCmd: O admin Saymon_Felipe prendeu pH_ShiFt por 0 minutos, Motivo: .
[29/03/2015 - 19:34:47] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de CmdGrl_FerreiraBOPE para +10 minutos, Motivo: Matando Atoa
[29/03/2015 - 19:36:12] - AdmCmd: O admin Saymon_Felipe prendeu Lactea_ShiFt por 0 minutos, Motivo: .
[29/03/2015 - 19:45:54] - AdmCmd: O admin Saymon_Felipe ajustou a cadeia de Wtf_Kasshoreir4 para +15 minutos, Motivo: Dm festa
[29/03/2015 - 19:49:53] - AdmCmd: O admin Johny_Staff ajustou a cadeia de Fly_ShiFt para +10 minutos, Motivo: DM Festa
